name,category,price
Laptop,Electronics,1249.99
Smartphone,Electronics,899.99
Wireless Headphones,Electronics,129.99
Smart Watch,Electronics,349.99
Tablet,Electronics,649.99
4K Television,Electronics,1299.99
Gaming Laptop,Electronics,1899.99
Bluetooth Speaker,Electronics,79.99
DSLR Camera,Electronics,999.99
Mechanical Keyboard,Electronics,149.99
Gaming Mouse,Electronics,69.99
External SSD 1TB,Electronics,129.99
T-Shirt,Clothing,29.99
Jeans,Clothing,79.99
Hoodie,Clothing,59.99
Winter Jacket,Clothing,149.99
Running Shoes,Clothing,119.99
Sneakers,Clothing,89.99
Dress,Clothing,69.99
Leather Jacket,Clothing,229.99
Refrigerator,Appliances,1899.99
Washing Machine,Appliances,899.99
Microwave Oven,Appliances,199.99
Coffee Maker,Appliances,129.99
Air Fryer,Appliances,149.99
Blender,Appliances,89.99
Vacuum Cleaner,Appliances,349.99
Dishwasher,Appliances,1199.99
Toaster,Appliances,49.99
The Great Gatsby,Books,12.99
Atomic Habits,Books,18.99
Python Programming,Books,45.99
1984,Books,14.99
Dune,Books,22.99
The Hobbit,Books,16.99
Cookbook,Books,29.99
History of Rome,Books,34.99
Backpack,Accessories,49.99
Sunglasses,Accessories,89.99
Water Bottle,Accessories,24.99
Wireless Charger,Accessories,39.99
Notebook,Accessories,9.99
Desk Lamp,Accessories,59.99
Office Chair,Accessories,299.99
Monitor Stand,Accessories,44.99
iPhone Case,Accessories,29.99
Monitor 27",Electronics,429.99
Gaming Chair,Accessories,399.99
Projector,Electronics,799.99
Electric Kettle,Appliances,59.99
Rice Cooker,Appliances,89.99
Robot Vacuum,Appliances,599.99
Fitness Tracker,Accessories,129.99
Yoga Mat,Accessories,19.99
Dumbbells Set,Accessories,149.99
Skincare Set,Beauty,79.99
Perfume,Beauty,129.99
Wireless Earbuds,Electronics,199.99
Power Bank,Electronics,49.99
Action Camera,Electronics,349.99
E-Reader,Accessories,149.99
Graphic Novel,Books,24.99
Fantasy Novel,Books,19.99
Programming Book,Books,59.99
Leather Bag,Accessories,119.99
Formal Shoes,Clothing,129.99
Sweater,Clothing,65.99
Cargo Pants,Clothing,55.99
Smart TV 55",Electronics,899.99
Soundbar,Electronics,299.99
Curtains Set,Home,79.99
Pillow Set,Home,49.99
Standing Desk,Accessories,449.99
Ergonomic Chair,Accessories,599.99
Electric Toothbrush,Accessories,69.99
Hair Dryer,Appliances,89.99
Straightener,Appliances,129.99
Makeup Kit,Beauty,89.99
Sofa,Home,1299.99
Dining Table,Home,899.99
Bed Frame,Home,699.99
Coffee Table,Home,249.99
Laptop Stand,Accessories,39.99
USB Hub,Electronics,34.99
HD Webcam,Electronics,89.99
Portable SSD,Electronics,159.99
Wireless Router,Electronics,129.99
Science Fiction Book,Books,21.99
Biography,Books,27.99
Self Help Book,Books,17.99
Winter Boots,Clothing,139.99
Scarf,Clothing,25.99
Gloves,Clothing,19.99